Sector,Year,FDI(₹ Crores),FDI(US$ Million)
CERAMICS,2013-14,908.04,150.09
CEMENT AND GYPSUM PRODUCTS,2013-14,1536.76,254.01
TIMBER PRODUCTS,2013-14,37.27,6.16
DEFENCE INDUSTRIES,2013-14,4.96,0.82
CONSULTANCY SERVICES,2013-14,1729.39,285.85
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2013-14,13461.86,2225.1
HOSPITAL & DIAGNOSTIC CENTRES,2013-14,4141.71,684.58
EDUCATION,2013-14,1585.64,262.09
HOTEL & TOURISM,2013-14,2942.6,486.38
TRADING,2013-14,8127.51,1343.39
RETAIL TRADING,2013-14,68.37,11.3
AGRICULTURE SERVICES,2013-14,550.61,91.01
"DIAMOND,GOLD ORNAMENTS",2013-14,257.49,42.56
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2013-14,35.45,5.86
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2013-14,688.37,113.78
COIR,2013-14,3.27,0.54
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2013-14,2936.49,485.37
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2013-14,7417.6,1226.05
MISCELLANEOUS INDUSTRIES,2013-14,2835.88,468.74
METALLURGICAL INDUSTRIES,2014-15,2197.0,359.34
MINING,2014-15,4184.36,684.39
POWER,2014-15,4322.84,707.04
NON-CONVENTIONAL ENERGY,2014-15,3765.92,615.95
COAL PRODUCTION,2014-15,0.0,0.0
PETROLEUM & NATURAL GAS,2014-15,6597.13,1079.02
BOILERS AND STEAM GENERATING PLANTS,2014-15,8.13,1.33
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2014-15,1410.5,230.7
ELECTRICAL EQUIPMENTS,2014-15,3514.51,574.83
COMPUTER SOFTWARE & HARDWARE,2014-15,14037.99,2296.04
ELECTRONICS,2014-15,592.08,96.84
TELECOMMUNICATIONS,2014-15,17699.66,2894.94
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2014-15,1558.83,254.96
AUTOMOBILE INDUSTRY,2014-15,16664.56,2725.64
AIR TRANSPORT (INCLUDING AIR FREIGHT),2014-15,455.86,74.56
SEA TRANSPORT,2014-15,2037.31,333.22
PORTS,2014-15,11.62,1.9
RAILWAY RELATED COMPONENTS,2014-15,793.17,129.73
INDUSTRIAL MACHINERY,2014-15,4382.45,716.79
MACHINE TOOLS,2014-15,147.1,24.06
AGRICULTURAL MACHINERY,2014-15,442.35,72.35
EARTH-MOVING MACHINERY,2014-15,184.09,30.11
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2014-15,1141.42,186.69
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2014-15,204.15,33.39
MEDICAL AND SURGICAL APPLIANCES,2014-15,892.22,145.93
INDUSTRIAL INSTRUMENTS,2014-15,5.2,0.85
SCIENTIFIC INSTRUMENTS,2014-15,197.73,32.34
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2014-15,0.0,0.0
FERTILIZERS,2014-15,1377.61,225.32
CHEMICALS (OTHER THAN FERTILIZERS),2014-15,4663.51,762.76
PHOTOGRAPHIC RAW FILM AND PAPER,2014-15,4.59,0.75
DYE-STUFFS,2014-15,335.6,54.89
DRUGS & PHARMACEUTICALS,2014-15,9157.18,1497.74
"TEXTILES (INCLUDING DYED,PRINTED)",2014-15,1207.03,197.42
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2014-15,710.51,116.21
SUGAR,2014-15,169.79,27.77
FERMENTATION INDUSTRIES,2014-15,1377.97,225.38
FOOD PROCESSING INDUSTRIES,2014-15,3153.97,515.86
VEGETABLE OILS AND VANASPATI,2014-15,906.95,148.34
"SOAPS, COSMETICS & TOILET PREPARATIONS",2014-15,1083.52,177.22
RUBBER GOODS,2014-15,1739.49,284.51
"LEATHER,LEATHER GOODS AND PICKERS",2014-15,209.16,34.21
GLUE AND GELATIN,2014-15,131.08,21.44
GLASS,2014-15,255.69,41.82
CERAMICS,2014-15,215.76,35.29
CEMENT AND GYPSUM PRODUCTS,2014-15,1277.76,208.99
TIMBER PRODUCTS,2014-15,54.84,8.97
DEFENCE INDUSTRIES,2014-15,0.49,0.08
CONSULTANCY SERVICES,2014-15,2801.01,458.13
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2014-15,27166.09,4443.26
HOSPITAL & DIAGNOSTIC CENTRES,2014-15,3471.83,567.85
EDUCATION,2014-15,482.15,78.86
HOTEL & TOURISM,2014-15,4750.64,777.01
TRADING,2014-15,16678.75,2727.96
RETAIL TRADING,2014-15,1031.55,168.72
AGRICULTURE SERVICES,2014-15,366.53,59.95
"DIAMOND,GOLD ORNAMENTS",2014-15,1713.02,280.18
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2014-15,8.74,1.43
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2014-15,443.75,72.58
COIR,2014-15,8.32,1.36
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2014-15,5320.71,870.25
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2014-15,4702.52,769.14
MISCELLANEOUS INDUSTRIES,2014-15,4682.59,765.88
METALLURGICAL INDUSTRIES,2015-16,2987.01,456.31
MINING,2015-16,3408.31,520.67
POWER,2015-16,5687.16,868.8
NON-CONVENTIONAL ENERGY,2015-16,5083.03,776.51
COAL PRODUCTION,2015-16,0.0,0.0
PETROLEUM & NATURAL GAS,2015-16,674.37,103.02
BOILERS AND STEAM GENERATING PLANTS,2015-16,510.0,77.91
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2015-16,1041.66,159.13
ELECTRICAL EQUIPMENTS,2015-16,2912.18,444.88
COMPUTER SOFTWARE & HARDWARE,2015-16,38649.94,5904.36
ELECTRONICS,2015-16,1364.12,208.39
TELECOMMUNICATIONS,2015-16,8669.52,1324.4
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2015-16,6607.14,1009.34
AUTOMOBILE INDUSTRY,2015-16,16540.56,2526.82
AIR TRANSPORT (INCLUDING AIR FREIGHT),2015-16,2364.74,361.25
SEA TRANSPORT,2015-16,2810.2,429.3
PORTS,2015-16,0.0,0.0
RAILWAY RELATED COMPONENTS,2015-16,484.34,73.99
INDUSTRIAL MACHINERY,2015-16,3719.83,568.26
MACHINE TOOLS,2015-16,827.28,126.38
AGRICULTURAL MACHINERY,2015-16,107.62,16.44
EARTH-MOVING MACHINERY,2015-16,639.28,97.66
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2015-16,1797.34,274.57
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2015-16,240.11,36.68
MEDICAL AND SURGICAL APPLIANCES,2015-16,1134.16,173.26
INDUSTRIAL INSTRUMENTS,2015-16,48.57,7.42
SCIENTIFIC INSTRUMENTS,2015-16,41.63,6.36
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2015-16,0.0,0.0
FERTILIZERS,2015-16,137.01,20.93
CHEMICALS (OTHER THAN FERTILIZERS),2015-16,9622.29,1469.95
PHOTOGRAPHIC RAW FILM AND PAPER,2015-16,0.0,0.0
DYE-STUFFS,2015-16,21.73,3.32
DRUGS & PHARMACEUTICALS,2015-16,4937.39,754.26
"TEXTILES (INCLUDING DYED,PRINTED)",2015-16,1506.43,230.13
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2015-16,557.78,85.21
SUGAR,2015-16,692.89,105.85
FERMENTATION INDUSTRIES,2015-16,1324.65,202.36
FOOD PROCESSING INDUSTRIES,2015-16,3311.49,505.88
VEGETABLE OILS AND VANASPATI,2015-16,224.0,34.22
"SOAPS, COSMETICS & TOILET PREPARATIONS",2015-16,1265.08,193.26
RUBBER GOODS,2015-16,1938.6,296.15
"LEATHER,LEATHER GOODS AND PICKERS",2015-16,112.13,17.13
GLUE AND GELATIN,2015-16,5.37,0.82
GLASS,2015-16,168.76,25.78
CERAMICS,2015-16,335.22,51.21
CEMENT AND GYPSUM PRODUCTS,2015-16,128.89,19.69
TIMBER PRODUCTS,2015-16,348.05,53.17
DEFENCE INDUSTRIES,2015-16,0.65,0.1
CONSULTANCY SERVICES,2015-16,3387.36,517.47
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2015-16,45098.41,6889.46
HOSPITAL & DIAGNOSTIC CENTRES,2015-16,4859.42,742.35
EDUCATION,2015-16,1510.69,230.78
HOTEL & TOURISM,2015-16,8723.79,1332.69
TRADING,2015-16,25171.46,3845.32
RETAIL TRADING,2015-16,1716.62,262.24
AGRICULTURE SERVICES,2015-16,554.12,84.65
"DIAMOND,GOLD ORNAMENTS",2015-16,383.2,58.54
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2015-16,7.33,1.12
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2015-16,803.91,122.81
COIR,2015-16,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2015-16,29527.11,4510.71
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2015-16,736.75,112.55
MISCELLANEOUS INDUSTRIES,2015-16,4377.77,668.77
METALLURGICAL INDUSTRIES,2016-17,9659.29,1440.18
MINING,2016-17,373.92,55.75
POWER,2016-17,7464.76,1112.98
NON-CONVENTIONAL ENERGY,2016-17,5255.4,783.57
COAL PRODUCTION,2016-17,0.0,0.0
PETROLEUM & NATURAL GAS,2016-17,1209.94,180.4
BOILERS AND STEAM GENERATING PLANTS,2016-17,361.57,53.91
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2016-17,1924.1,286.88
ELECTRICAL EQUIPMENTS,2016-17,14961.24,2230.69
COMPUTER SOFTWARE & HARDWARE,2016-17,24492.02,3651.71
ELECTRONICS,2016-17,563.19,83.97
TELECOMMUNICATIONS,2016-17,37315.67,5563.69
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2016-17,10172.37,1516.68
AUTOMOBILE INDUSTRY,2016-17,10793.71,1609.32
AIR TRANSPORT (INCLUDING AIR FREIGHT),2016-17,559.36,83.4
SEA TRANSPORT,2016-17,4930.05,735.06
PORTS,2016-17,0.0,0.0
RAILWAY RELATED COMPONENTS,2016-17,587.33,87.57
INDUSTRIAL MACHINERY,2016-17,2208.62,329.3
MACHINE TOOLS,2016-17,160.23,23.89
AGRICULTURAL MACHINERY,2016-17,101.88,15.19
EARTH-MOVING MACHINERY,2016-17,350.31,52.23
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2016-17,1644.82,245.24
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2016-17,49.9,7.44
MEDICAL AND SURGICAL APPLIANCES,2016-17,3217.41,479.71
INDUSTRIAL INSTRUMENTS,2016-17,5.37,0.8
SCIENTIFIC INSTRUMENTS,2016-17,514.16,76.66
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2016-17,0.0,0.0
FERTILIZERS,2016-17,5.97,0.89
CHEMICALS (OTHER THAN FERTILIZERS),2016-17,9341.51,1392.8
PHOTOGRAPHIC RAW FILM AND PAPER,2016-17,0.0,0.0
DYE-STUFFS,2016-17,71.76,10.7
DRUGS & PHARMACEUTICALS,2016-17,5750.51,857.39
"TEXTILES (INCLUDING DYED,PRINTED)",2016-17,4151.3,618.95
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2016-17,1325.37,197.61
SUGAR,2016-17,106.78,15.92
FERMENTATION INDUSTRIES,2016-17,743.54,110.86
FOOD PROCESSING INDUSTRIES,2016-17,4877.46,727.22
VEGETABLE OILS AND VANASPATI,2016-17,727.37,108.45
"SOAPS, COSMETICS & TOILET PREPARATIONS",2016-17,621.07,92.6
RUBBER GOODS,2016-17,1762.33,262.76
"LEATHER,LEATHER GOODS AND PICKERS",2016-17,15.43,2.3
GLUE AND GELATIN,2016-17,607.65,90.6
GLASS,2016-17,346.68,51.69
CERAMICS,2016-17,103.29,15.4
CEMENT AND GYPSUM PRODUCTS,2016-17,14286.58,2130.1
TIMBER PRODUCTS,2016-17,68.61,10.23
DEFENCE INDUSTRIES,2016-17,0.0,0.0
CONSULTANCY SERVICES,2016-17,1751.47,261.14
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2016-17,58244.06,8684.07
HOSPITAL & DIAGNOSTIC CENTRES,2016-17,5012.68,747.38
EDUCATION,2016-17,1073.92,160.12
HOTEL & TOURISM,2016-17,6144.48,916.13
TRADING,2016-17,15683.65,2338.4
RETAIL TRADING,2016-17,3024.45,450.94
AGRICULTURE SERVICES,2016-17,512.62,76.43
"DIAMOND,GOLD ORNAMENTS",2016-17,831.13,123.92
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2016-17,10.73,1.6
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2016-17,356.61,53.17
COIR,2016-17,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2016-17,12479.92,1860.73
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2016-17,705.17,105.14
MISCELLANEOUS INDUSTRIES,2016-17,1987.95,296.4
